127.0.0.1 - - [19/Oct/2024:08:37:43 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /Ecommerce-website/view/product/home.jsp HTTP/1.1" 200 12815
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/css/home.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/images/cart.svg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/images/avatar.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/images/banner1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/images/profile.svg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/images/Shirt_image.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /resources/js/home.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:38:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /Ecommerce-website/view/product/home.jsp HTTP/1.1" 200 12815
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/css/home.css HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/images/cart.svg HTTP/1.1" 404 785
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/images/Shirt_image.jpg HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/images/banner1.jpg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/images/avatar.jpg HTTP/1.1" 404 787
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/images/profile.svg HTTP/1.1" 404 788
0:0:0:0:0:0:0:1 - - [19/Oct/2024:08:41:45 +0530] "GET /resources/js/home.js HTTP/1.1" 404 780
